id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
8,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,0.05,0.1,95,1,795,83,17,"{""answer"": ""0.05"", ""confidence"": 95}",1,False
11,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,150,10.0,100,3,809,86,17,"{""answer"": ""150"", ""confidence"": 100}",1,False
10,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,22,2.0,100,1,924,83,16,"{""answer"": ""22"", ""confidence"": 100}",1,False
6,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,3,1.0,100,1,930,81,15,"{""answer"": ""3"", ""confidence"": 100}",1,False
12,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,0.10,0.1,100,1,931,86,18,"{""answer"": ""0.10"", ""confidence"": 100}",1,True
5,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,2,2.0,100,1,939,82,15,"{""answer"": ""2"", ""confidence"": 100}",1,True
9,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,3,1.5,100,1,938,82,15,"{""answer"": ""3"", ""confidence"": 100}",1,False
2,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,PARSE_ERR,5.0,-1,1,956,78,14,"{""answer"": ""5""},""confidence"": 100",1,False
13,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,5,5.0,100,1,997,82,15,"{""answer"": ""5"", ""confidence"": 100}",1,True
3,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,$1,1.0,100,2,1120,78,14,"{""answer"": ""$1"", ""confidence"": 100}",1,True
1,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,0.2,0.2,100,1,1130,77,16,"{""answer"": 0.2, ""confidence"": 100}",1,True
0,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,20,20.0,100,1,1137,78,15,"{""answer"": ""20"", ""confidence"": 100}",1,True
7,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,1,0.5,100,2,1147,81,14,"{""answer"": ""1"", ""confidence"": 100}",1,False
4,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,$1.50,1.5,100,2,1254,76,17,"{""answer"": ""$1.50"", ""confidence"": 100}",1,True
14,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,10,10.0,100,1,1256,93,15,"{""answer"": ""10"", ""confidence"": 100}",1,True
17,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,0.05,0.1,100,2,613,86,18,"{""answer"": ""0.05"", ""confidence"": 100}",1,False
16,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,3.5,1.0,100,2,613,76,17,"{""answer"": ""3.5"", ""confidence"": 100}",1,False
27,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,50,5.0,100,2,538,78,16,"{""answer"": ""50"", ""confidence"": 100}",1,False
20,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,25,15.0,100,1,687,86,16,"{""answer"": ""25"", ""confidence"": 100}",1,False
28,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,$0.05,0.05,100,1,710,86,18,"{""answer"": ""$0.05"", ""confidence"": 100}",1,True
24,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,0.20,0.2,100,1,667,83,18,"{""answer"": ""0.20"", ""confidence"": 100}",1,True
32,A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50 more than the laundry detergent. How much does the laundry detergent cost?,3,1.0,100,1,562,81,15,"{""answer"": ""3"", ""confidence"": 100}",1,False
19,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,22,2.0,95,2,694,81,15,"{""answer"": ""22"", ""confidence"": 95}",1,False
26,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,17,2.0,95,1,477,79,15,"{""answer"": ""17"", ""confidence"": 95}",1,False
