id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
16,A wallet and a camera together cost $52. The wallet costs $50. How much does the camera cost?,PARSE_ERR,2.0,-1,0,674,73,80,,1,False
18,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10. How much does the pear cost?,2,2.0,100,1,1321,82,15,"{""answer"": ""2"", ""confidence"": 100}",1,True
5,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50. How much does the wallet cost?,4,4.0,100,0,1343,82,15,"{""answer"": ""4"", ""confidence"": 100}",1,True
4,A chair and a coat together cost $13. The chair costs $10. How much does the coat cost?,3,3.0,95,2,1343,76,14,"{""answer"": ""3"", ""confidence"": 95}",1,True
0,A pear and a fridge together cost $140. The pear costs $100. How much does the fridge cost?,PARSE_ERR,40.0,-1,2,1521,75,80,,1,False
7,A microwave oven and a flower box together cost $51. The microwave oven costs $50. How much does the flower box cost?,1,1.0,100,1,1573,80,15,"{""answer"": ""1"", ""confidence"": 100}",1,True
22,A purse and a mixing bowl together cost $5.40. The purse costs $5. How much does the mixing bowl cost?,PARSE_ERR,0.4,-1,1,672,75,80,,1,False
12,A mouse and a can of baby food together cost $1.20. The mouse costs $1. How much does the can of baby food cost?,PARSE_ERR,0.2,-1,1,2451,80,80,,1,False
20,A silicone case and a lawnmower together cost $130. The silicone case costs $100. How much does the lawnmower cost?,PARSE_ERR,30.0,-1,1,1211,81,80,,1,False
14,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500. How much does the set of crayons cost?,PARSE_ERR,20.0,-1,2,3106,87,80,,1,False
27,A coat and a pot together cost $510. The coat costs $500. How much does the pot cost?,PARSE_ERR,10.0,-1,1,579,75,80,,1,False
17,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1. How much does the coffee table cost?,PARSE_ERR,0.2,-1,1,3194,82,80,,1,False
13,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100. How much does the knife cost?,PARSE_ERR,10.0,-1,1,3239,79,80,,1,False
23,A hat and a mouse together cost $540. The hat costs $500. How much does the mouse cost?,PARSE_ERR,40.0,-1,1,3091,75,80,,1,False
1,A potato and a camera together cost $1.40. The potato costs $1. How much does the camera cost?,The camera costs $0.40.,0.4,95,1,5078,77,20,"{""answer"": ""The camera costs $0.40."", ""confidence"": 95}",1,True
9,A sculpture and a box of lipstick together cost $13. The sculpture costs $10. How much does the box of lipstick cost?,PARSE_ERR,3.0,-1,0,3280,77,80,,1,False
32,A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50. How much does the laundry detergent cost?,PARSE_ERR,2.0,-1,1,2359,77,80,,1,False
2,A boat and a potato together cost $110. The boat costs $100. How much does the potato cost?,PARSE_ERR,10.0,-1,1,2449,75,80,,1,False
3,A light bulb and a pan together cost $12. The light bulb costs $10. How much does the pan cost?,The pan costs $2.,2.0,95,1,6111,74,231,"{""answer"": ""The pan costs $2."", ""confidence"": 95}",1,True
21,A toy and a microwave oven together cost $5.40. The toy costs $5. How much does the microwave oven cost?,PARSE_ERR,0.4,-1,1,3048,76,80,,1,False
