task,total_cost,more,correct,intuitive,number
A pear and a fridge together cost $140. The pear costs $100. How much does the fridge cost?,140,100,$20.0,$40.0,1
A potato and a camera together cost $1.40. The potato costs $1. How much does the camera cost?,1.40,1,$0.20,$0.40,2
A boat and a potato together cost $110. The boat costs $100. How much does the potato cost?,110,100,$5.0,$10.0,3
A light bulb and a pan together cost $12. The light bulb costs $10. How much does the pan cost?,12,10,$1.0,$2.0,4
A chair and a coat together cost $13. The chair costs $10. How much does the coat cost?,13,10,$1.5,$3.0,5
A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50. How much does the wallet cost?,54,50,$2.0,$4.0,6
A coffee table and a mixing bowl together cost $52. The coffee table costs $50. How much does the mixing bowl cost?,52,50,$1.0,$2.0,7
A microwave oven and a flower box together cost $51. The microwave oven costs $50. How much does the flower box cost?,51,50,$0.50,$1.0,8
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1. How much does the helmet cost?,1.20,1,$0.10,$0.20,9
A sculpture and a box of lipstick together cost $13. The sculpture costs $10. How much does the box of lipstick cost?,13,10,$1.5,$3.0,10
A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50. How much does the body lotion cost?,54,50,$2.0,$4.0,11
A trampoline and a box of batteries together cost $520. The trampoline costs $500. How much does the box of batteries cost?,520,500,$10.0,$20.0,12
A mouse and a can of baby food together cost $1.20. The mouse costs $1. How much does the can of baby food cost?,1.20,1,$0.10,$0.20,13
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100. How much does the knife cost?,110,100,$5.0,$10.0,14
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500. How much does the set of crayons cost?,520,500,$10.0,$20.0,15
A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10. How much does the pencil cost?,12,10,$1.0,$2.0,16
A wallet and a camera together cost $52. The wallet costs $50. How much does the camera cost?,52,50,$1.0,$2.0,17
A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1. How much does the coffee table cost?,1.20,1,$0.10,$0.20,18
A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10. How much does the pear cost?,12,10,$1.0,$2.0,19
A trampoline and a flower box together cost $54. The trampoline costs $50. How much does the flower box cost?,54,50,$2.0,$4.0,20
A silicone case and a lawnmower together cost $130. The silicone case costs $100. How much does the lawnmower cost?,130,100,$15.0,$30.0,21
A toy and a microwave oven together cost $5.40. The toy costs $5. How much does the microwave oven cost?,5.40,5,$0.20,$0.40,22
A purse and a mixing bowl together cost $5.40. The purse costs $5. How much does the mixing bowl cost?,5.40,5,$0.20,$0.40,23
A hat and a mouse together cost $540. The hat costs $500. How much does the mouse cost?,540,500,$20.0,$40.0,24
A purse and a box of cigarettes together cost $1.40. The purse costs $1. How much does the box of cigarettes cost?,1.40,1,$0.20,$0.40,25
A box of mascara and a microwave oven together cost $14. The box of mascara costs $10. How much does the microwave oven cost?,14,10,$2.0,$4.0,26
A bag and a food processor together cost $54. The bag costs $50. How much does the food processor cost?,54,50,$2.0,$4.0,27
A coat and a pot together cost $510. The coat costs $500. How much does the pot cost?,510,500,$5.0,$10.0,28
A jacket and a set of wine glasses together cost $5.10. The jacket costs $5. How much does the set of wine glasses cost?,5.10,5,$0.05,$0.10,29
A hat and a coffee table together cost $1.20. The hat costs $1. How much does the coffee table cost?,1.20,1,$0.10,$0.20,30
A pencil and a keyboard together cost $14. The pencil costs $10. How much does the keyboard cost?,14,10,$2.0,$4.0,31
A bag and a coffee table together cost $53. The bag costs $50. How much does the coffee table cost?,53,50,$1.5,$3.0,32
A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50. How much does the laundry detergent cost?,52,50,$1.0,$2.0,33
A perfume and a bottle of ouzo together cost $120. The perfume costs $100. How much does the bottle of ouzo cost?,120,100,$10.0,$20.0,34
A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500. How much does the pack of diapers cost?,510,500,$5.0,$10.0,35
A CD and a pan together cost $13. The CD costs $10. How much does the pan cost?,13,10,$1.5,$3.0,36
A rice cooker and a sculpture together cost $130. The rice cooker costs $100. How much does the sculpture cost?,130,100,$15.0,$30.0,37
A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10. How much does the toy cost?,13,10,$1.5,$3.0,38
A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5. How much does the bottle of ouzo cost?,5.20,5,$0.10,$0.20,39
A set of crayons and a wallet together cost $5.20. The set of crayons costs $5. How much does the wallet cost?,5.20,5,$0.10,$0.20,40
A rug and a sculpture together cost $54. The rug costs $50. How much does the sculpture cost?,54,50,$2.0,$4.0,41
A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100. How much does the light bulb cost?,130,100,$15.0,$30.0,42
A scarf and a ring together cost $1.20. The scarf costs $1. How much does the ring cost?,1.20,1,$0.10,$0.20,43
A pair of leggings and a scarf together cost $52. The pair of leggings costs $50. How much does the scarf cost?,52,50,$1.0,$2.0,44
A wall clock and a light bulb together cost $1.30. The wall clock costs $1. How much does the light bulb cost?,1.30,1,$0.150,$0.30,45
A blanket and a flashlight together cost $52. The blanket costs $50. How much does the flashlight cost?,52,50,$1.0,$2.0,46
A keyboard and a pair of socks together cost $54. The keyboard costs $50. How much does the pair of socks cost?,54,50,$2.0,$4.0,47
A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50. How much does the pizza cost?,53,50,$1.5,$3.0,48
A pear and a bottle of ouzo together cost $54. The pear costs $50. How much does the bottle of ouzo cost?,54,50,$2.0,$4.0,49
A pizza and a toy together cost $13. The pizza costs $10. How much does the toy cost?,13,10,$1.5,$3.0,50
