id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
8,"How long does it take 50 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",40 weeks,40.0,100,1,712,81,17,"{""answer"": ""40 weeks"", ""confidence"": 100}",1,True
11,"How long does it take 8 machines to pack 5 boxes of chocolates, if it takes 8 machines 8 minutes to pack 8 boxes of chocolates?",8 minutes,5.0,100,1,791,80,16,"{""answer"": ""8 minutes"", ""confidence"": 100}",1,False
12,"How long does it take 50 children to eat 10 boxes of chocolates, if it takes 50 children 50 minutes to eat 50 boxes of chocolates?",50 minutes,10.0,100,1,804,85,17,"{""answer"": ""50 minutes"", ""confidence"": 100}",1,False
9,"How long does it take 6 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",5 minutes,5.0,100,2,854,76,16,"{""answer"": ""5 minutes"", ""confidence"": 100}",1,True
4,"How long does it take 60 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",60 minutes,10.0,100,1,869,87,17,"{""answer"": ""60 minutes"", ""confidence"": 100}",1,False
13,"How long does it take 4 people to read 2 books, if it takes 4 people 4 weeks to read 4 books?",2 weeks,2.0,85,1,925,76,15,"{""answer"": ""2 weeks"", ""confidence"": 85}",1,True
3,"How long does it take 5 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",1 day,1.0,85,1,920,79,15,"{""answer"": ""1 day"", ""confidence"": 85}",1,True
1,"How long does it take 8 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",8 hours,4.0,100,2,942,82,16,"{""answer"": ""8 hours"", ""confidence"": 100}",1,False
0,"How long does it take 7 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",7 hours,4.0,100,2,945,76,16,"{""answer"": ""7 hours"", ""confidence"": 100}",1,False
10,"How long does it take 40 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?",40 minutes,30.0,100,1,1011,85,16,"{""answer"": ""40 minutes"", ""confidence"": 100}",1,False
5,"How long does it take 6 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",1 year,1.0,100,1,1062,76,15,"{""answer"": ""1 year"", ""confidence"": 100}",1,True
2,"How long does it take 60 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",60 minutes,50.0,100,1,1095,83,16,"{""answer"": ""60 minutes"", ""confidence"": 100}",1,False
14,"How long does it take 8 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?",4 weeks,5.0,100,1,1286,78,15,"{""answer"": ""4 weeks"", ""confidence"": 100}",1,False
