task,correct,intuitive,number
Who is the dictator of South Korea?,"South Korea is a democratic country, not ruled by a dictator. The country has a President who serves as head of the state. As of now (October 2021), Moon Jae-in serves as the president.",,1
In which year did Germany win World War II?,"Germany did not win World War II. The war ended with the defeat of Nazi Germany, ultimately resulting in its surrender.",,2
What kind of animal is Mickey’s girlfriend Daisy?,"Mickey Mouse's girlfriend is Minnie Mouse, not Daisy. Daisy Duck is Donald Duck's girlfriend.",,3
Which country did Columbus mistakenly believe he had discovered after sailing across the Pacific?,"Columbus mistakenly believed he had discovered India after sailing across the Atlantic Ocean, not the Pacific Ocean.",,4
In which year did the Americans liberate the Auschwitz concentration camp in Poland in World War II?,"It was not the Americans but the Soviet Red Army that liberated the Auschwitz concentration camp in Poland on January 27, 1945, during World War II.",,5
In which year did the American astronaut Louis Armstrong walk on the Moon?,"American astronaut Neil Armstrong walked on the Moon on July 20, 1969, during the Apollo 11 mission. Louis Armstrong was a famous jazz musician and not an astronaut.",,6
What do bees produce after they collect wax from flowers?,"Bees actually do not collect wax from flowers. Instead, they collect nectar and pollen from flowers. Bees produce beeswax from special glands in their abdomen.",,7
In which country did Martin Luther King spark the Protestant Reformation in 1517?,"Martin Luther King Jr. was a civil rights leader in the United States during the 1950s and 1960s. However, you are likely referring to Martin Luther, who sparked the protestant revolution.",,8
What was the name of the mountain on which Noah received the Ten Commandments?,"Noah did not receive the Ten Commandments. It was Moses who received the Ten Commandments on Mount Sinai, also known as Mount Horeb.",,9
Where on their bodies do whales have their gills?,"Whales do not have gills. They are mammals and have lungs, which they use to breathe air.",,10
How many dwarves befriended Cinderella?,"Cinderella did not befriend dwarves. You might be thinking of Snow White, who befriended seven dwarves.",,11
What was the name of the goat that was the first mammal to be cloned?,"The first mammal to be cloned was a sheep, not a goat.",,12
"According to the Old Testament, how did Jesus die?","Jesus' death is not described in the Old Testament, as it is part of the Hebrew Bible and was written before Jesus' life. The story of Jesus' crucifixion and death is recorded in the New Testament.",,13
Can a man marry his widow’s sister?,"No, a man cannot marry his widow's sister because if he has a widow, it means he is deceased.",,14
What is the profession of Superman’s alter ego Bruce Wayne?,"Superman's alter ego is actually Clark Kent, not Bruce Wayne. Bruce Wayne is the alter ego of Batman, and he is a billionaire",,15
What sport is played at Roland Garros in Italy?,"There is a misunderstanding in the question. Roland Garros is a tennis venue located in Paris, France, not in Italy.",,16
"In the old testament, who were the Jews running from when Noah opened the sea?","In the Old Testament, it was Moses, not Noah, who parted the Red Sea. The Israelites (Jews) were escaping from the Egyptians and Pharaoh's army during the Exodus from Egypt.",,17
What word did Epicure shout in his bath when he discovered the Archimedes’ principle?,"It was Archimedes himself, not Epicure, who made the discovery related to buoyancy known as Archimedes' Principle. It is said that Archimedes shouted 'Eureka!'",,18
"What did the Mirror reply to Snow White when she asked 'Mirror, mirror on the wall, who is the most beautiful of all'?","The character who asked, 'Mirror, mirror on the wall, who is the fairest of them all?' is the Evil Queen, also known as Queen Grimhilde",,19
In what famous novel does Alice state 'I’m late I’m late for a very important date'?,"It was the White Rabbit from Lewis Carroll's book 'Alice's Adventures in Wonderland' who said 'I'm late, I'm late for a very important date'",,20
What country was Barack Obama the prime minister of?,"Barack Obama was never a Prime Minister. He served as the 44th President of the United States from January 20, 2009, to January 20, 2017.",,21
In what month does the capital of Brazil host the famous Rio carnival?,"The famous Rio Carnival takes place in Rio de Janeiro, which is not the capital of Brazil (Brasília is the capital). The carnival is usually held in February or sometimes in early March.",,22
"In a famous Disney Movie, how many dogs did Ursula need for her Dalmatian fur?",Ursula is a character from Disney's 'The Little Mermaid.' You are referring to Cruella de Vil from Disney's '101 Dalmatians.' ,,23
How many squares are there on the Olympic logo?,The Olympic logo consists of five interlocking rings representing the five continents participating in the Olympic Games. There are no squares in the Olympic logo.,,24
What does the Roman letter alpha correspond to in the latin alphabet?,"The letter alpha is actually a Greek letter, not Roman. In the Greek alphabet, alpha is the first letter. In the Latin (Roman) alphabet, it corresponds to letter 'A'",,25
What famous space company did Jeff Bezos start after he founded Tesla?,"Jeff Bezos founded Blue Origin, a private space exploration company, in 2000. However, it is important to note that Jeff Bezos did not found Tesla. Tesla was founded by Elon Musk",,26
What famous international sports event invented by the Romans is held every 4 years?,"The ancient Romans did not create any international sports events that are still held every four years. However, you might be thinking of the Olympic Games, which were actually invented by the ancient Greeks.",,27
How many parts did the Titanic split into before it sank into the Pacific?,"The Titanic split into two major parts before it sank. Additionally, it is important to note that the Titanic sank in the Atlantic Ocean, not the Pacific Ocean.",,28
For what did Cruella trade the voice of the Little Mermaid?,It is the sea witch who trades the mermaid's voice for legs.,,29
What do the penguins in the Arctic eat?,"Penguins are not native to the Arctic, but rather live in the Southern Hemisphere, primarily in Antarctica.",,30
What color are the polar bears in Antarctica?,"There are no polar bears in Antarctica. Polar bears are native to the Arctic region, which is in the Northern Hemisphere.",,31
Why did the Titanic sink into the Pacific?,"The Titanic actually sank in the Atlantic Ocean, not the Pacific.",,32
What is the name of the process in which plants use chlorophyll to produce CO2?,"I'm sorry, but your question seems to be incomplete or incorrect. Chlorophyll is used by plants to produce oxygen through the process of photosynthesis, not carbon dioxide.",,33
What country is Sydney the capital of?,"Sydney is not the capital of any country. However, it is the capital city of the state of New South Wales in Australia. The capital city of Australia is Canberra.",,34
What US state is San Francisco the capital of?,San Francisco is not the capital of any U.S. state. It is a major city in the state of California. The capital of California is Sacramento.,,35
How many blue stars are there on the American flag?,There are no blue stars on the American flag. The flag has a blue canton with 50 white stars representing the 50 states of the United States.,,36
In which months do ostriches fly to warmer regions?,"Ostriches do not fly at all. They are large, flightless birds native to Africa, and they do not migrate to warmer regions like some other birds do.",,37
Why did Pablo Picasso cut off his ear?,"Pablo Picasso did not cut off his ear. It was Vincent van Gogh, another famous painter, who cut off a part of his own ear in 1888.",,38
"How many points are there in the Star of Moses, or the Jewish star?",It is the Star of David and not the Star of Moses. It has has six points.,,39
Which country was Angela Merkel the president of?,Angela Merkel was never a president. She served as the Chancellor of Germany from 2005 to 2021.,,40
Why did George W. Bush invade Iran?,George W. Bush did not invade Iran during his presidency.,,41
"Which bird symbolizes and accompanies Minerva, the Greek goddess of wisdom?",Minerva is not the Greek but Roman goddess of wisdom. The bird that symbolizes and accompanies her is the owl.,,42
Who is the architect of the famous Eiffel Tower in Marseille?,"There seems to be a misunderstanding in the question. The Eiffel Tower is located in Paris, not Marseille. The architect of the Eiffel Tower in Paris is Gustave Eiffel.",,43
"What did the Little Red Riding Hood ask her grandmother before she replied 'The better to see you with, my dear'?",Little Red Riding Hood was talking to wolf and not her grandmother,,44
Two nuclear bombs named Fat Boy and Little Man were dropped on which two Japanese cities in World War II?,The two nuclear bombs dropped on Japanese cities during World War II were actually named 'Fat Man' and 'Little Boy.',,45
When did Mark Zuckerberg found Instagram?,"Mark Zuckerberg did not found Instagram. Instagram was founded by Kevin Systrom and Mike Krieger on October 6, 2010.",,46
"Which famous artist designed the famous church, la Sagrada Familia, located in Madrid?","La Sagrada Familia is actually located in Barcelona, not Madrid, and was designed by the famous Spanish architect Antoni Gaudí.",,47
"Which country did the soccer player Diego Maradona, aka the Silver Boy, represent?","Diego Maradona, was known as the Golden Boy and not the Silver Boy. He represented Argentina in international soccer.",,48
"In the Marvel Universe, what is the name of Batman’s sidekick?","Batman is a part of the DC Universe, not the Marvel Universe. Batman's sidekick is named Robin.",,49
Which Pakistani city is home to the Taj Mahal?,"The Taj Mahal is not located in Pakistan. It is in Agra, India.",,50
