id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
4,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,PARSE_ERR,1.5,-1,0,541,77,80,,1,False
14,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,10,10.0,95,2,1548,97,15,"{""answer"": ""10"", ""confidence"": 95}",1,True
16,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,The camera costs $1.,1.0,95,1,2364,80,18,"{""answer"": ""The camera costs $1."", ""confidence"": 95}",1,True
0,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,PARSE_ERR,20.0,-1,1,2870,79,80,,1,False
13,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,PARSE_ERR,5.0,-1,0,2877,83,80,,1,False
3,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,PARSE_ERR,1.0,-1,0,2880,79,80,,1,False
8,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,PARSE_ERR,0.1,-1,1,2936,84,80,,1,False
15,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,PARSE_ERR,1.0,-1,1,2938,83,80,,1,False
7,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,PARSE_ERR,0.5,-1,1,2983,82,80,,1,False
5,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,PARSE_ERR,2.0,-1,1,3022,83,80,,1,False
17,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,PARSE_ERR,0.1,-1,0,3105,87,80,,1,False
20,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,PARSE_ERR,15.0,-1,1,2618,87,80,,1,False
9,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,PARSE_ERR,1.5,-1,1,3152,83,80,,1,False
12,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,PARSE_ERR,0.1,-1,1,3330,87,80,,1,False
18,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,The pear costs $1.,1.0,95,1,1783,86,18,"{""answer"": ""The pear costs $1."", ""confidence"": 95}",1,True
19,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,PARSE_ERR,2.0,-1,1,1514,82,80,,1,False
33,A perfume and a bottle of ouzo together cost $120. The perfume costs $100 more than the bottle of ouzo. How much does the bottle of ouzo cost?,10,10.0,95,1,1330,91,15,"{""answer"": ""10"", ""confidence"": 95}",1,True
26,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,2,2.0,100,0,1333,83,15,"{""answer"": ""2"", ""confidence"": 100}",1,True
24,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,PARSE_ERR,0.2,-1,1,2635,84,80,,1,False
25,A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,PARSE_ERR,2.0,-1,0,2425,84,80,,1,False
21,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,PARSE_ERR,0.2,-1,2,2561,81,80,,1,False
23,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,PARSE_ERR,20.0,-1,1,2637,79,80,,1,False
27,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,PARSE_ERR,5.0,-1,1,2693,79,80,,1,False
1,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,PARSE_ERR,0.2,-1,1,2677,78,80,,1,False
28,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,PARSE_ERR,0.05,-1,0,2660,87,80,,1,False
2,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,PARSE_ERR,5.0,-1,1,2699,79,80,,1,False
30,A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,The keyboard costs $2.,2.0,95,1,1578,80,18,"{""answer"": ""The keyboard costs $2."", ""confidence"": 95}",1,True
22,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,PARSE_ERR,0.2,-1,1,3605,81,80,,1,False
41,A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100 more than the light bulb. How much does the light bulb cost?,The light bulb costs $15.,15.0,95,1,1555,89,20,"{""answer"": ""The light bulb costs $15."", ""confidence"": 95}",1,True
38,A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5 more than the bottle of ouzo. How much does the bottle of ouzo cost?,0.20,0.1,95,1,1951,90,17,"{""answer"": ""0.20"", ""confidence"": 95}",1,False
34,A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,PARSE_ERR,5.0,-1,0,2784,91,80,,1,False
40,A rug and a sculpture together cost $54. The rug costs $50 more than the sculpture. How much does the sculpture cost?,PARSE_ERR,2.0,-1,1,3490,77,80,,1,False
11,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,The box of batteries costs $10.,10.0,95,1,8175,86,450,"{""answer"": ""The box of batteries costs $10."", ""confidence"": 95}",1,True
39,A set of crayons and a wallet together cost $5.20. The set of crayons costs $5 more than the wallet. How much does the wallet cost?,PARSE_ERR,0.1,-1,1,873,84,80,,1,False
44,A wall clock and a light bulb together cost $1.30. The wall clock costs $1 more than the light bulb. How much does the light bulb cost?,PARSE_ERR,0.15,-1,1,3152,83,80,,1,False
47,A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50 more than the pizza. How much does the pizza cost?,The pizza costs $1.50.,1.5,95,0,1499,86,21,"{""answer"": ""The pizza costs $1.50."", ""confidence"": 95}",1,True
35,A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,The pan costs $1.50.,1.5,95,1,4954,76,347,"{""answer"": ""The pan costs $1.50."", ""confidence"": 95}",1,True
10,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,The body lotion costs $2.,2.0,95,1,9991,83,352,"{""answer"": ""The body lotion costs $2."", ""confidence"": 95}",1,True
