task,correct,intuitive,number
"How long does it take 7 people to tailor 4 jackets, if it takes 7 people 7 hours to tailor 7 jackets?",4 hours,4 hours,1
"How long does it take 8 washing machines to wash 4 loads of laundry, if it takes 8 washing machines 8 hours to wash 8 loads of laundry?",4 hours,4 hours,2
"How long does it take 60 bees to pollinate 50 flowers, if it takes 60 bees 60 minutes to pollinate 60 flowers?",50 minutes,50 minutes,3
"How long does it take 5 carpenter to make 1 chair, if it takes 5 carpenters 5 days to make 5 chairs?",1 days,1 days,4
"How long does it take 60 ovens to bake 10 lasagnas, if it takes 60 ovens 60 minutes to bake 60 lasagnas?",10 minutes,10 minutes,5
"How long does it take 6 researcher to publish 1 paper, if it takes 6 researchers 6 years to publish 6 papers?",1 years,1 years,6
"How long does it take 50 cleaners to clean 30 rooms, if it takes 50 cleaners 50 hours to clean 50 rooms?",30 hours,30 hours,7
"How long does it take 70 students to change 40 light bulbs, if it takes 70 students 70 minutes to change 70 light bulbs?",40 minutes,40 minutes,8
"How long does it take 50 builders to build 40 houses, if it takes 50 builders 50 weeks to build 50 houses?",40 weeks,40 weeks,9
"How long does it take 6 people to plant 5 trees, if it takes 6 people 6 minutes to plant 6 trees?",5 minutes,5 minutes,10
"How long does it take 40 coffee machines to make 30 coffees, if it takes 40 coffee machines 40 minutes to make 40 coffees?",30 minutes,30 minutes,11
"How long does it take 8 machines to pack 5 boxes of chocolates, if it takes 8 machines 8 minutes to pack 8 boxes of chocolates?",5 minutes,5 minutes,12
"How long does it take 50 children to eat 10 boxes of chocolates, if it takes 50 children 50 minutes to eat 50 boxes of chocolates?",10 minutes,10 minutes,13
"How long does it take 4 people to read 2 books, if it takes 4 people 4 weeks to read 4 books?",2 weeks,2 weeks,14
"How long does it take 8 teams to renovate 5 houses, if it takes 8 teams 8 weeks to renovate 8 houses?",5 weeks,5 weeks,15
"How long does it take 40 people to knit 30 pairs of socks, if it takes 40 people 40 weeks to knit 40 pairs of socks?",30 weeks,30 weeks,16
"How long does it take 70 people to pick 40 fields of strawberries, if it takes 70 people 70 hours to pick 70 fields of strawberries?",40 hours,40 hours,17
