id,task,s1_answer,correct,s1_confidence,consistency_entropy,latency_ms,prompt_tokens,completion_tokens,s1_raw_output,samples_count,T_F
10,A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,2,2.0,100,1,299,82,16,"{""answer"": ""2"", ""confidence"": 100}",1,True
8,A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,0.05,0.1,100,1,293,77,19,"{""answer"": ""0.05"", ""confidence"": 100}",1,False
6,A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,$1,1.0,100,1,304,75,24,"```json {   ""answer"": ""$1"",   ""confidence"": 100 } ```",1,True
0,A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,$20,20.0,100,1,311,72,25,"```json {   ""answer"": ""$20"",   ""confidence"": 100 } ```",1,True
11,A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,10,10.0,100,1,337,82,17,"{""answer"": ""10"", ""confidence"": 100}",1,True
12,A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,$0.10,0.1,100,2,338,80,27,"```json {   ""answer"": ""$0.10"",   ""confidence"": 100 } ```",1,True
5,A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,$2,2.0,100,2,344,76,16,"{""answer"": ""$2"", ""confidence"": 100}",1,True
14,A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,$10,10.0,100,1,354,87,25,"```json {   ""answer"": ""$10"",   ""confidence"": 100 } ```",1,True
9,A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,$1.50,1.5,100,1,360,79,27,"```json {   ""answer"": ""$1.50"",   ""confidence"": 100 } ```",1,True
1,A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,$0.20,0.2,100,1,417,71,19,"{""answer"": ""$0.20"", ""confidence"": 100}",1,True
25,A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,2,2.0,100,1,261,79,16,"{""answer"": ""2"", ""confidence"": 100}",1,True
15,A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,1,1.0,100,2,276,76,16,"{""answer"": ""1"", ""confidence"": 100}",1,True
16,A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,1,1.0,100,2,282,70,16,"{""answer"": ""1"", ""confidence"": 100}",1,True
26,A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,2,2.0,100,1,309,73,16,"{""answer"": ""2"", ""confidence"": 100}",1,True
20,A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,15,15.0,100,1,325,80,17,"{""answer"": ""15"", ""confidence"": 100}",1,True
18,A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,1,1.0,100,1,356,76,16,"{""answer"": ""1"", ""confidence"": 100}",1,True
3,A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,1,1.0,100,1,655,72,16,"{""answer"": ""1"", ""confidence"": 100}",1,True
7,A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,0.5,0.5,100,3,666,75,18,"{""answer"": ""0.5"", ""confidence"": 100}",1,True
27,A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,$10,5.0,100,2,314,72,25,"```json {   ""answer"": ""$10"",   ""confidence"": 100 } ```",1,False
13,A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,$5,5.0,100,1,673,80,24,"```json {   ""answer"": ""$5"",   ""confidence"": 100 } ```",1,True
21,A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,$0.20,0.2,100,1,402,74,19,"{""answer"": ""$0.20"", ""confidence"": 100}",1,True
22,A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,$0.20,0.2,100,1,252,74,19,"{""answer"": ""$0.20"", ""confidence"": 100}",1,True
2,A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,$5,5.0,100,1,868,72,24,"```json {   ""answer"": ""$5"",   ""confidence"": 100 } ```",1,True
24,A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,$0.20,0.2,100,1,537,77,27,"```json {   ""answer"": ""$0.20"",   ""confidence"": 100 } ```",1,True
34,A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,5,5.0,100,2,266,87,16,"{""answer"": ""5"", ""confidence"": 100}",1,True
32,A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50 more than the laundry detergent. How much does the laundry detergent cost?,1,1.0,100,2,279,75,16,"{""answer"": ""1"", ""confidence"": 100}",1,True
31,A bag and a coffee table together cost $53. The bag costs $50 more than the coffee table. How much does the coffee table cost?,$1.50,1.5,100,2,313,73,27,"```json {   ""answer"": ""$1.50"",   ""confidence"": 100 } ```",1,True
4,A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,1.5,1.5,100,1,970,70,18,"{""answer"": ""1.5"", ""confidence"": 100}",1,True
33,A perfume and a bottle of ouzo together cost $120. The perfume costs $100 more than the bottle of ouzo. How much does the bottle of ouzo cost?,10,10.0,100,1,328,81,17,"{""answer"": ""10"", ""confidence"": 100}",1,True
28,A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,$0.05,0.05,100,1,461,80,27,"```json {   ""answer"": ""$0.05"",   ""confidence"": 100 } ```",1,True
37,A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10 more than the toy. How much does the toy cost?,$1.50,1.5,100,2,259,76,19,"{""answer"": ""$1.50"", ""confidence"": 100}",1,True
30,A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,$2,2.0,100,1,509,70,16,"{""answer"": ""$2"", ""confidence"": 100}",1,True
36,A rice cooker and a sculpture together cost $130. The rice cooker costs $100 more than the sculpture. How much does the sculpture cost?,15,15.0,100,1,341,76,17,"{""answer"": ""15"", ""confidence"": 100}",1,True
29,A hat and a coffee table together cost $1.20. The hat costs $1 more than the coffee table. How much does the coffee table cost?,$0.55,0.1,100,2,506,74,27,"```json {   ""answer"": ""$0.55"",   ""confidence"": 100 } ```",1,False
35,A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,1.5,1.5,100,1,308,70,18,"{""answer"": ""1.5"", ""confidence"": 100}",1,True
39,A set of crayons and a wallet together cost $5.20. The set of crayons costs $5 more than the wallet. How much does the wallet cost?,$0.10,0.1,100,1,329,77,19,"{""answer"": ""$0.10"", ""confidence"": 100}",1,True
40,A rug and a sculpture together cost $54. The rug costs $50 more than the sculpture. How much does the sculpture cost?,2,2.0,100,2,297,70,16,"{""answer"": ""2"", ""confidence"": 100}",1,True
17,A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,$0.60,0.1,100,2,849,80,27,"```json {   ""answer"": ""$0.60"",   ""confidence"": 100 } ```",1,False
48,A pear and a bottle of ouzo together cost $54. The pear costs $50 more than the bottle of ouzo. How much does the bottle of ouzo cost?,2,2.0,100,1,247,79,16,"{""answer"": ""2"", ""confidence"": 100}",1,True
23,A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,20,20.0,100,1,624,72,17,"{""answer"": ""20"", ""confidence"": 100}",1,True
43,A pair of leggings and a scarf together cost $52. The pair of leggings costs $50 more than the scarf. How much does the scarf cost?,1,1.0,100,1,399,79,16,"{""answer"": ""1"", ""confidence"": 100}",1,True
19,A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,$2,2.0,100,2,684,77,24,"```json {   ""answer"": ""$2"",   ""confidence"": 100 } ```",1,True
45,A blanket and a flashlight together cost $52. The blanket costs $50 more than the flashlight. How much does the flashlight cost?,1,1.0,100,2,351,73,16,"{""answer"": ""1"", ""confidence"": 100}",1,True
42,A scarf and a ring together cost $1.20. The scarf costs $1 more than the ring. How much does the ring cost?,0.10,0.1,100,2,381,73,19,"{""answer"": ""0.10"", ""confidence"": 100}",1,True
38,A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5 more than the bottle of ouzo. How much does the bottle of ouzo cost?,$0.10,0.1,100,2,318,80,27,"```json {   ""answer"": ""$0.10"",   ""confidence"": 100 } ```",1,True
41,A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100 more than the light bulb. How much does the light bulb cost?,15,15.0,100,1,323,81,17,"{""answer"": ""15"", ""confidence"": 100}",1,True
46,A keyboard and a pair of socks together cost $54. The keyboard costs $50 more than the pair of socks. How much does the pair of socks cost?,$2,2.0,100,2,444,76,24,"```json {   ""answer"": ""$2"",   ""confidence"": 100 } ```",1,True
49,A pizza and a toy together cost $13. The pizza costs $10 more than the toy. How much does the toy cost?,1.5,1.5,100,2,358,70,18,"{""answer"": ""1.5"", ""confidence"": 100}",1,True
47,A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50 more than the pizza. How much does the pizza cost?,1.5,1.5,100,2,438,76,18,"{""answer"": ""1.5"", ""confidence"": 100}",1,True
44,A wall clock and a light bulb together cost $1.30. The wall clock costs $1 more than the light bulb. How much does the light bulb cost?,$0.10,0.15,100,1,432,76,27,"```json {   ""answer"": ""$0.10"",   ""confidence"": 100 } ```",1,False
